1430469,1430470
3074457345620536004,3074457345620536006
3074457345620462204,3074457345620598693
3074457345620525703,3074457345620525706
3074457345620368724,3074457345620368725
1326641,1326642
3074457345619983582,3074457345619983583
3074457345620287302,3074457345620287303
2413273,2413274
3074457345619801324,3074457345619801325
3074457345620417750,3074457345620417751
3074457345620168970,3074457345620168971
3074457345620278155,3074457345620278156
3074457345620229712,3074457345620229715
3074457345620401830,3074457345620401831
4000290835,5350101
4000356871,5350541
4000411614,5350473
4000411634,5350468
4000411590,5350462
